PlantName,PlantKey,Technology,City,State,ZipCode,Capacity_MW,Lat,Long,2023_CO2_Emissions,2023_NOX_Emissions,2023_SO2_Emissions,2023_CO2_Rate,2023_NOX_Rate,2023_SO2_Rate,FuelType,HeatRate_MBTU,2023_Net_Generation_Mwh
Columbia Generating (WNP-2),2455,Nuclear,Richland,WA,99354,"1,172.0",46.471783,(119.334333),NA,NA,NA,NA,NA,NA,Nuclear,NA,"8,435,018"
Jim Bridger,3994,Steam Turbine,Rock Springs,WY,82901,"2,119.0",41.738170,(108.786920),"9,813,084","10,974,905","13,335,962",209.7600,0.1173,0.1425,Coal,"11,150","8,320,076"
South Field Energy,21443,Combined Cycle,Wellsville,OH,43968,"1,210.4",40.641060,(80.677620),"3,271,423","329,996","33,069",118.8570,0.0060,0.0006,Gas,"6,050","8,253,298"
Perry,5477,Nuclear,Perry,OH,44081,"1,268.0",41.803150,(81.140800),NA,NA,NA,NA,NA,NA,Nuclear,NA,"8,220,912"
Blue Water Energy Center (Belle River Combined Cycle Plant),23467,Combined Cycle,East China,MI,48054,"1,179.2",42.776000,(82.482010),"3,052,821","340,049","30,863",118.8570,0.0066,0.0006,Gas,"6,341","8,216,638"
Guernsey Power Station,22134,Combined Cycle,Byesville,OH,43723,"1,875.0",39.938030,(81.536290),"3,224,918","442,962","32,571",118.8572,0.0082,0.0006,Gas,"6,488","8,154,972"
Clinton Power Station,2384,Nuclear,Clinton,IL,61727,"1,060.5",40.172446,(88.834763),NA,NA,NA,NA,NA,NA,Nuclear,NA,"8,101,628"
Davis-Besse,2668,Nuclear,Oak Harbor,OH,43449,908.0,41.593926,(83.089321),NA,NA,NA,NA,NA,NA,Nuclear,NA,"7,985,728"
Victor J. Daniel Jr. CC,7034,Combined Cycle,Moss Point,MS,39562,"1,139.0",30.531012,(88.556263),"3,584,090","462,011","36,163",118.8565,0.0077,0.0006,Gas,"7,828","7,984,707"
Fairless Works Energy Center,146,Combined Cycle,Fairless Hills,PA,19030,"1,355.4",40.146864,(74.742125),"3,292,675","427,450","33,251",118.8575,0.0077,0.0006,Gas,"7,127","7,975,147"
Gibson,3338,Steam Turbine,Owensville,IN,47665,"3,157.0",38.372381,(87.767072),"9,041,529","7,142,396","9,027,269",205.1997,0.0810,0.1024,Coal,"11,735","7,970,910"
Sanford CC,365,Combined Cycle,DeBary,FL,32713,"2,432.0",28.842350,(81.325210),"3,333,441","1,516,983","33,652",118.8574,0.0270,0.0006,Gas,"7,306","7,926,168"
Colorado Bend Energy Center II,19892,Combined Cycle,Wharton,TX,77488,"1,210.3",29.288900,(96.067380),"3,118,096","219,043","31,533",118.8572,0.0042,0.0006,Gas,"6,818","7,844,808"
Waterford 3,7157,Nuclear,Killona,LA,70057,"1,173.5",29.994433,(90.471768),NA,NA,NA,NA,NA,NA,Nuclear,NA,"7,820,399"
Panda Hummel Station (Sunbury Repower CC),17089,Combined Cycle,Selinsgrove,PA,17870,"1,126.2",40.839010,(76.825520),"3,199,587","325,095","32,162",118.8573,0.0060,0.0006,Gas,"6,762","7,736,716"
Gerald Gentleman,3330,Steam Turbine,Sutherland,NE,69165,"1,365.0",41.080980,(101.140952),"7,884,348","14,365,689","41,753,645",209.7600,0.1911,0.5554,Coal,"10,001","7,676,999"
Fayette Power Project,3084,Steam Turbine,La Grange,TX,78945,"1,636.0",29.917570,(96.750890),"9,248,092","10,728,180","1,156,721",209.7599,0.1217,0.0131,Coal,"10,844","7,645,266"
Mesquite Power 1 & 2,265,Combined Cycle,Tonopah,AZ,85354,"1,264.0",33.345264,(112.864008),"3,313,553","479,889","33,448",118.8572,0.0086,0.0006,Gas,"7,394","7,613,036"
Freestone Energy Center,155,Combined Cycle,Fairfield,TX,75840,"1,094.6",31.890540,(96.111110),"3,143,007","1,581,778","31,614",118.8568,0.0299,0.0006,Gas,"7,083","7,559,621"
Covert,596,Combined Cycle,Covert,MI,49043,"1,174.0",42.322789,(86.293391),"3,249,011","375,649","32,848",118.8573,0.0069,0.0006,Gas,"7,291","7,551,549"
Mill Creek,4772,Steam Turbine,Louisville,KY,40272,"1,477.0",38.051810,(85.909960),"7,888,038","11,350,953","6,518,297",204.9561,0.1475,0.0847,Coal,"10,291","7,540,565"
V.C. Summer,6628,Nuclear,Jenkinsville,SC,29065,994.1,34.298300,(81.315300),NA,NA,NA,NA,NA,NA,Nuclear,NA,"7,515,709"
H.L. Spurlock,3522,Steam Turbine,Maysville,KY,41056,"1,346.0",38.699009,(83.816714),"8,108,282","6,055,512","8,168,068",205.1999,0.0766,0.1034,Coal,"10,681","7,497,121"
Four Corners,3186,Steam Turbine,Farmington,NM,87401,"1,540.0",36.690000,(108.483000),"7,852,750","5,216,110","3,626,766",205.2001,0.0682,0.0474,Coal,"10,006","7,434,911"
